gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
testicle	ʈʂwe	-e		unmarked	"[""ʈʂo:""]"	"[""""]"	"[""f_5vehqaanuslus""]"	f_hbhgsskkxl5du	[]	
thigh	ʃʌ́sne	-e	2	stress-marked	"[""ʃʌ́sna:""]"	[2]	"[""f_jlkzcqzwlkkwq""]"	f_gkxwv6n3hz2pg	[]	
throat	ʂó:ʈe	-e	2	stress-marked	"[""ʂó:ʈo""]"	[2]	"[""f_fpvuc2kkjih4m""]"	f_vt3ygeuafsvze	[]	
tooth	dóni	-i	2	stress-marked	[]	[]	[]	f_bqmdwwjgu3byy	[]	
wound	gá:le	-e	2	stress-marked	"[""gá:l""]"	[1]	"[""f_5jogv4yadyeru""]"	f_ls36bu7zy3kvc	"[""4460""]"	
wrinkle	brʌ́ke	-e	2	stress-marked	"[""brʌ́ko""]"	[2]	"[""f_dqynl5mvymxuq""]"	f_diwbfsj6qg5o6	[]	
bowl	muɣuréh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_isd2sxobumyym	[]	
brew	ʌyʌméh	-eh/-eɦ	1	stress-marked	"[""ʌyʌ́m""]"	[1]	"[""f_exw4rx2pucpwa""]"	f_kk6d2gxzwekzw	[]	
churning rod	ʈʂhʌparéh	-eh/-eɦ	1	stress-marked	"[""ʈʂhʌpáro""]"	[2]	"[""f_3pc6gh7sidets""]"	f_ndcuutx2i4foy	[]	
cream	ʃʌmʌléh	-eh/-eɦ	1	stress-marked	"[""ʃʌmʌ́l""]"	[1]	"[""f_36e3vbh7343pw""]"	f_q6h5zxs5v4ysg	[]	
essence	ʌrʌkéh	-eh/-eɦ	1	stress-marked	"[""ʌrʌ́k""]"	[1]	"[""f_hjoglrilnruek""]"	f_ptj4nubgnxfa4	[]	
fruit	me:vé:	other	1	stress-marked	"[""me:ʋá:; me:vá:""]"	"[""""]"	"[""f_f5x4j2ogw4vzg""]"	f_zbzmn2qhtfwk6	[]	
jar (earthen pot)	ʈekeréh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_mcnpml5ugcd3c	[]	
knife	kəɽá:reh	-eh/-eɦ	2	stress-marked	"[""kəɽá:r""]"	[1]	"[""f_rcf5jqujoi7ag""]"	f_iqv7ddbejfccw	[]	
knife	kʌɽa:réh	-eh/-eɦ	1	stress-marked	"[""kəɽá:r""]"	[1]	"[""f_rcf5jqujoi7ag""]"	f_a3os6ptruznxg	[]	
